iter	Passed	Remaining
403	9508	14027
404	9531	14002
405	9555	13980
406	9578	13955
407	9600	13930
408	9623	13906
409	9648	13884
410	9670	13859
411	9694	13835
412	9715	13808
413	9737	13782
414	9758	13755
415	9779	13728
416	9801	13702
417	9821	13675
418	9843	13648
419	9865	13624
420	9885	13595
421	9907	13570
422	9927	13542
423	9948	13514
424	9968	13487
425	9991	13463
426	10011	13434
427	10034	13410
428	10054	13382
429	10078	13359
430	10101	13335
431	10121	13308
432	10147	13288
433	10168	13260
434	10187	13231
435	10208	13206
436	10229	13178
437	10253	13156
438	10274	13129
439	10296	13104
440	10319	13080
441	10340	13054
442	10362	13028
443	10390	13011
444	10416	12990
445	10441	12970
446	10465	12947
447	10490	12925
448	10545	12941
449	10583	12935
450	10611	12916
451	10633	12892
452	10654	12865
453	10676	12840
454	10701	12818
455	10727	12797
456	10753	12776
457	10773	12749
458	10794	12722
459	10817	12698
460	10837	12671
461	10858	12644
462	10877	12616
463	10897	12588
464	10916	12559
465	10935	12531
466	10955	12503
467	10977	12478
468	10998	12452
469	11019	12426
470	11041	12400
471	11062	12375
472	11083	12349
473	11108	12326
474	11128	12299
475	11149	12274
476	11171	12249
477	11196	12227
478	11222	12206
479	11243	12180
480	11263	12152
481	11286	12129
482	11333	12130
483	11356	12107
484	11378	12082
485	11400	12056
486	11429	12040
487	11451	12014
488	11475	11991
489	11501	11971
490	11528	11951
491	11568	11944
492	11598	11927
493	11626	11909
494	11659	11895
495	11683	11872
496	11714	11856
497	11751	11845
498	11772	11819
499	11792	11792
500	11811	11764
501	11830	11736
502	11851	11710
503	11871	11683
504	11894	11658
505	11914	11631
506	11932	11603
507	11966	11589
508	11988	11564
509	12012	11541
510	12034	11516
511	12055	11490
512	12074	11462
513	12109	11450
514	12128	11422
515	12146	11393
516	12166	11366
517	12188	11341
518	12210	11316
519	12237	11295
520	12260	11272
521	12282	11247
522	12303	11220
523	12322	11193
524	12344	11168
525	12366	11143
526	12389	11120
527	12412	11096
528	12433	11070
529	12457	11046
530	12482	11024
531	12518	11012
532	12547	10993
533	12576	10975
534	12597	10949
535	12619	10924
536	12642	10900
537	12667	10877
538	12688	10852
539	12710	10827
540	12734	10804
541	12753	10777
542	12777	10754
543	12827	10752
544	12848	10726
545	12892	10720
546	12933	10711
547	12960	10689
548	12984	10666
549	13004	10640
550	13025	10614
551	13048	10589
552	13069	10564
553	13090	10538
554	13111	10512
555	13131	10486
556	13153	10461
557	13175	10436
558	13197	10411
559	13220	10387
560	13240	10361
561	13264	10338
562	13296	10320
563	13316	10294
564	13336	10267
565	13355	10240
566	13375	10214
567	13394	10187
568	13414	10160
569	13434	10134
570	13453	10107
571	13480	10086
572	13502	10062
573	13521	10035
574	13541	10009
575	13563	9984
576	13589	9962
577	13613	9939
578	13633	9913
579	13653	9886
580	13673	9861
581	13695	9835
582	13718	9812
583	13738	9786
584	13758	9760
585	13779	9735
586	13800	9710
587	13821	9684
588	13843	9659
589	13863	9633
590	13884	9608
591	13904	9583
592	13927	9559
593	13947	9533
594	13965	9506
595	13985	9479
596	14003	9452
597	14021	9426
598	14041	9400
599	14062	9375
600	14081	9348
601	14100	9321
602	14122	9297
603	14143	9272
604	14163	9247
605	14184	9221
606	14204	9196
607	14222	9169
608	14242	9144
609	14262	9118
610	14281	9092
611	14300	9066
612	14322	9041
613	14339	9015
614	14358	8988
615	14377	8962
616	14398	8937
617	14416	8911
618	14435	8885
619	14456	8860
620	14475	8834
621	14494	8808
622	14516	8784
623	14540	8761
624	14564	8738
625	14600	8723
626	14620	8697
627	14640	8672
628	14660	8647
629	14683	8623
630	14710	8602
631	14730	8577
632	14750	8552
633	14770	8527
634	14793	8503
635	14812	8477
636	14837	8455
637	14857	8430
638	14881	8407
639	14952	8410
640	14985	8392
641	15006	8368
642	15029	8344
643	15050	8319
644	15071	8295
645	15093	8271
646	15117	8247
647	15137	8222
648	15156	8197
649	15177	8172
650	15197	8147
651	15219	8123
652	15241	8099
653	15263	8074
654	15284	8050
655	15307	8026
656	15327	8001
657	15346	7976
658	15367	7952
659	15387	7926
660	15407	7901
661	15428	7877
662	15447	7851
663	15465	7826
664	15484	7800
665	15503	7775
666	15526	7751
667	15548	7727
668	15566	7701
669	15587	7677
670	15608	7653
671	15628	7628
